texto_acordao,
"DECIDEM os Conselheiros do Tribunal de Contas do Estado, à unanimidade, convergindo com a Informação do Corpo Técnico da DAP e com o Parecer do MPC, em cumprimento aos comandos do Supremo Tribunal Federal em sede do referido Tema 445 de Repercussão Geral, com fulcro nos fundamentos dantes expostos, e acolhendo integralmente o voto do Conselheiro Relator, julgar:
a)	pelo REGISTRO tácito do ato concessivo de aposentadoria em apreço;
b)	após o trânsito em julgado, ao Arquivo Geral. ",
"DECIDEM os Conselheiros do Tribunal de Contas do Estado, à unanimidade, convergindo com a Informação do Corpo Técnico da DAP  e com o Parecer do MPC, em cumprimento aos comandos do Supremo Tribunal Federal em sede do referido Tema 445 de Repercussão Geral, com fulcro nos fundamentos dantes expostos, e acolhendo integralmente o voto do Conselheiro Relator, julgar:
a)	pelo REGISTRO tácito do ato concessivo de aposentadoria em apreço;
b)	após o trânsito em julgado, ao Arquivo Geral. ",
"DECIDEM os Conselheiros do Tribunal de Contas do Estado, à unanimidade, concordando com a Informação do Corpo Técnico da DAP e com o Parecer MPC, em cumprimento aos comandos do Supremo Tribunal Federal em sede do referido Tema 445 de Repercussão Geral, e com fulcro nos fundamentos dantes expostos, acolhendo integralmente o voto do Conselheiro Relator, julgar:
a)	pelo REGISTRO tácito do ato concessivo de aposentadoria em apreço;
b)	após o trânsito em julgado, ao Arquivo Geral. ",
"DECIDEM os Conselheiros do Tribunal de Contas do Estado, à unanimidade, concordando com a Informação do Corpo Técnico da DAP e com o Parecer MPC, em cumprimento aos comandos do Supremo Tribunal Federal em sede do referido Tema 445 de Repercussão Geral, e com fulcro nos fundamentos dantes expostos, acolhendo integralmente o voto do Conselheiro Relator, julgar:
a)	pelo REGISTRO tácito do ato concessivo de aposentadoria em apreço;
b)	após o trânsito em julgado, ao Arquivo Geral. ",
"DECIDEM os Conselheiros do Tribunal de Contas do Estado, à unanimidade, acolhendo a Informação da DAP e o Parecer do MPC, com fulcro nos fundamentos jurídicos dantes explanados, e concordando integralmente com o voto do Conselheiro Relator, julgar pelo reconhecimento de que o óbito da parte interessada em epígrafe prejudica o registro do ato concessivo de aposentadoria respectivo. 
Após o trânsito em julgado, arquive-se este feito, considerando que a pensão por morte decorrente do ex-segurado em epígrafe já tramita neste TCE/RN (Processo nº 100551/2023 – TC).",
"DECIDEM os Conselheiros do Tribunal de Contas do Estado, à unanimidade, convergindo com a Informação do Corpo Técnico da DAP  e com o Parecer do MPC, em cumprimento aos comandos do Supremo Tribunal Federal em sede do referido Tema 445 de Repercussão Geral, com fulcro nos fundamentos dantes expostos, e acolhendo integralmente o voto do Conselheiro Relator, julgar:
a)	pelo REGISTRO tácito do ato concessivo de aposentadoria em apreço;
b)	após o trânsito em julgado, ao Arquivo Geral. ",
"DECIDEM os Conselheiros do Tribunal de Contas do Estado, à unanimidade, convergindo com a Informação do Corpo Técnico da DAP  e com o Parecer do MPC, em cumprimento aos comandos do Supremo Tribunal Federal em sede do referido Tema 445 de Repercussão Geral, com fulcro nos fundamentos dantes expostos, e acolhendo integralmente o voto do Conselheiro Relator, julgar:
a)	pelo REGISTRO tácito do ato concessivo de aposentadoria em apreço;
b)	após o trânsito em julgado, ao Arquivo Geral. ",
"Vistos, relatados e discutidos estes autos, concordando integralmente com os fundamentos do Ministério Público de Contas, ACORDAM os Conselheiros, nos termos do voto proferido pelo Conselheiro Relator, julgar irregular a matéria, nos termos do art. 75, inciso I, da LOTCE, com aplicação de multa ao Sr. Josifran Lins de Medeiros, Prefeito do Município de São Vicente no exercício de 2013, no valor de R$ 2.000,00 (dois mil reais), prevista no artigo 107, II, “b”, da Lei Complementar nº 464/2012, pelo descumprimento de norma legal ou regulamentar de natureza contábil, financeira, orçamentária, operacional ou patrimonial; na gradação a que se refere o art. 31, I, “b”, da Resolução nº 004/2013-TCE, aplicável à espécie.
A(s) multa(s) imposta(s), por decisão deste Tribunal de Contas do Estado, somente poderá (ão) ser quitada(s) mediante pagamento de guias bancárias, conforme determina os arts. 3º e 4º da Resolução nº 013/2015 - TCE-RN.",
"Vistos, relatados e discutidos estes autos, ACORDAM os Conselheiros, nos termos do voto proferido pelo Conselheiro Relator, julgar no sentido de julgar irregular a matéria, nos termos do art. 75, inciso I, da LOTCE, com aplicação de multa ao Sr. Francisco das Chagas de Oliveira, Prefeito do Município de Pilões no exercício de 2015, no valor de R$ 2.000,00 (dois mil reais), prevista no artigo 107, II, “b”, da Lei Complementar nº 464/2012, pelo descumprimento de norma legal ou regulamentar de natureza contábil, financeira, orçamentária, operacional ou patrimonial; na gradação a que se refere o art. 31, I, “b”, da Resolução nº 004/2013-TCE, aplicável à espécie.
A(s) multa(s) imposta(s), por decisão deste Tribunal de Contas do Estado, somente poderá (ão) ser quitada(s) mediante pagamento de guias bancárias, conforme determina os arts. 3º e 4º da Resolução nº 013/2015 - TCE-RN.",
"Vistos, relatados e discutidos estes autos, concordando integralmente com os fundamentos do Ministério Público de Contas, ACORDAM os Conselheiros, nos termos do voto proferido pelo Conselheiro Relator, julgar irregular a matéria, nos termos do art. 75, inciso I, da LOTCE, com aplicação de multa ao Sr. José Ferrari de Oliveira, Prefeito do Município de Marcelino Vieira no exercício de 2013, no valor de R$ 2.000,00 (dois mil reais), prevista no artigo 107, II, “b”, da Lei Complementar nº 464/2012, pelo descumprimento de norma legal ou regulamentar de natureza contábil, financeira, orçamentária, operacional ou patrimonial; na gradação a que se refere o art. 31, I, “b”, da Resolução nº 004/2013-TCE, aplicável à espécie.
A(s) multa(s) imposta(s), por decisão deste Tribunal de Contas do Estado, somente poderá (ão) ser quitada(s) mediante pagamento de guias bancárias, conforme determina os arts. 3º e 4º da Resolução nº 013/2015 - TCE-RN.",
"Vistos, relatados e discutidos estes autos, considerando a manifestação emitida pelo Corpo Técnico e parecer do Ministério Público junto a esta Corte, ACORDAM os Conselheiros, nos termos do voto proferido pelo Conselheiro Relator, julgar irregular a matéria, nos termos do art. 75, inciso I, da LOTCE, com aplicação de multa ao Sr. Nivaldo Alves da Silva, Prefeito do Município de Lajes Pintada no exercício de 2015, no valor de R$ 2.000,00 (dois mil reais), prevista no artigo 107, II, “b”, da Lei Complementar nº 464/2012, pelo descumprimento de norma legal ou regulamentar de natureza contábil, financeira, orçamentária, operacional ou patrimonial; na gradação a que se refere o art. 31, I, “b”, da Resolução nº 004/2013-TCE, aplicável à espécie.
ACORDAM ainda, pela assinatura de recomendação ao órgão em análise, a fim de que adote providências administrativas que permitam corrigir as falhas apontadas no parecer, especialmente para que ele passe a remeter a prestação de contas de forma integral.
A(s) multa(s) imposta(s), por decisão deste Tribunal de Contas do Estado, somente poderá (ão) ser quitada(s) mediante pagamento de guias bancárias, conforme determina os arts. 3º e 4º da Resolução nº 013/2015 - TCE-RN.",
"DECIDEM os Conselheiros do Tribunal de Contas do Estado, à unanimidade, concordando com a Informação do Corpo Técnico da DAP e com o Parecer MPC, em cumprimento aos comandos do Supremo Tribunal Federal em sede do referido Tema 445 de Repercussão Geral, e com fulcro nos fundamentos dantes expostos, e acolhendo integralmente o voto do Conselheiro Relator, julgar:
a)	pelo REGISTRO tácito do ato concessivo de aposentadoria em apreço;
b)	após o trânsito em julgado, ao Arquivo Geral. ",
"ISTO POSTO, concordando com a Informação do Corpo Técnico da DAP e com o Parecer MPC, em cumprimento aos comandos do Supremo Tribunal Federal em sede do referido Tema 445 de Repercussão Geral, e com fulcro nos fundamentos dantes expostos, VOTO:
a)	pelo REGISTRO tácito do ato concessivo de aposentadoria em apreço;
b)	após o trânsito em julgado, ao Arquivo Geral. 
Sala das Sessões, em
 
(documento assinado digitalmente)
Carlos Thompson Costa Fernandes
Conselheiro Relator

",Padrão
"DECIDEM os Conselheiros do Tribunal de Contas do Estado, à unanimidade, divergindo em parte da manifestação da DAP e do Parecer do MPC – vez que se manifestaram pelo registro com fundamento diverso –, bem como ressalvado o  entendimento pessoal do Conselehiro Relator acerca da inconstitucionalidade flagrante apurada neste processo, em cumprimento aos comandos da modulação de efeitos efetivada no Tema 1254 de Repercussão Geral da Suprema Corte, e da decisão judicial proferida nos autos do Agravo Regimental na Reclamação 65997/RN, pelo STF, e aderindo parcialmente, em homenagem ao princípio da colegialidade, à ilustrada maioria desta Corte de Contas, nos moldes dispostos na referida Consulta nº 300762/2023-TC – deixando de aplicar tão somente a sua parte que exige o preenchimento de requisitos especificados nos mencionados itens “a” e “b” da Nota Técnica nº 001/2024 SECEX/TCE-RN, que não se adéquam ao parâmetro definindo na modulação de efeitos do Tema 1254 de Repercussão Geral efetivada pelo STF –, com fulcro nos fundamentos jurídicos dantes explanados, e acolhendo integralmente o voto do Conselheiro Relator, julgar:
a)	pelo REGISTRO do ato concessivo de aposentadoria sob análise, em observância à modulação de efeitos realizada no Tema 1254 de Repercussão Geral efetivada pelo STF, bem como aplicando em parte o quanto disposto na aludida Consulta nº 300762/2023-TC, desta Corte de Contas, para fins de modulação dos respectivos efeitos – excetuando somente o seu trecho que prevê requisitos especificados nos mencionados itens “a” e “b” da Nota Técnica nº 001/2024 SECEX/TCE-RN;
b)	após o trânsito em julgado, ao Arquivo Geral. ",
"DECIDEM os Conselheiros do Tribunal de Contas do Estado, à unanimidade, convergindo com a Informação do Corpo Técnico da DAP  e com o Parecer do MPC, em cumprimento aos comandos do Supremo Tribunal Federal em sede do referido Tema 445 de Repercussão Geral, e com fulcro nos fundamentos dantes expostos, e acolhendo integralmente o voto do Conselheiro Relator, julgar: 
a) pelo REGISTRO tácito do ato concessivo de aposentadoria em apreço; 
b) após o trânsito em julgado, ao Arquivo Geral.",
"DECIDEM os Conselheiros do Tribunal de Contas do Estado, à unanimidade, convergindo com a Informação do Corpo Técnico da DAP  e com o Parecer do MPC, em cumprimento aos comandos do Supremo Tribunal Federal em sede do referido Tema 445 de Repercussão Geral, e com fulcro nos fundamentos dantes expostos, e acolhendo integralmente o voto do Conselheiro Relator, julgar: 
a) pelo REGISTRO tácito do ato concessivo de aposentadoria em apreço; 
b) após o trânsito em julgado, ao Arquivo Geral.",
"DECIDEM os Conselheiros do Tribunal de Contas do Estado, por maioria, discordando em parte da manifestação da Diretoria de Atos de Pessoal – DAP e do Parecer do MPC – vez que se manifestaram pelo registro com fundamento diverso –, bem como bem como ressalvado o entendimento pessoal do Conselheiro Relator Carlos Thompson Costa Fernandes acerca da inconstitucionalidade flagrante apurada neste processo, em cumprimento aos comandos da modulação de efeitos efetivada no Tema 1254 de Repercussão Geral da Suprema Corte, e da decisão judicial proferida nos autos do Agravo Regimental na Reclamação 65997/RN, pelo STF, este que aderiu parcialmente, em homenagem ao princípio da colegialidade, à ilustrada maioria desta Corte de Contas, nos moldes dispostos na referida Consulta nº 300762/2023-TC – deixando de aplicar tão somente a sua parte que exige o preenchimento de requisitos especificados nos mencionados itens “a” e “b” da Nota Técnica nº 001/2024 SECEX/TCE-RN, que não se adequam ao parâmetro definindo na modulação de efeitos do Tema 1254 de Repercussão Geral efetivada pelo STF –, com fulcro nos fundamentos jurídicos dantes explanados, e acolhendo integralmente o voto do Conselheiro Relator, julgar:

a)	pelo REGISTRO do ato concessivo de aposentadoria sob análise, em observância à modulação de efeitos realizada no Tema 1254 de Repercussão Geral efetivada pelo STF, bem como aplicando em parte o quanto disposto na aludida Consulta nº 300762/2023-TC, desta Corte de Contas, para fins de modulação dos respectivos efeitos – excetuando somente o seu trecho que prevê requisitos especificados nos mencionados itens “a” e “b” da Nota Técnica nº 001/2024 SECEX/TCE-RN;

b)	após o trânsito em julgado, ao Arquivo Geral. 

Vencidos os Excelentíssimos Conselheiros George Montenegro Soares, que divergiu parcialmente apenas quanto à fundamentação legal, e Francisco Potiguar Cavalcanti Júnior, que acompanhou o voto divergente.
",
"DECIDEM os Conselheiros do Tribunal de Contas do Estado, por maioria, discordando em parte da manifestação da Diretoria de Atos de Pessoal – DAP e do Parecer do MPC – vez que se manifestaram pelo registro com fundamento diverso –, bem como bem como ressalvado o entendimento pessoal do Conselheiro Relator Carlos Thompson Costa Fernandes acerca da inconstitucionalidade flagrante apurada neste processo, em cumprimento aos comandos da modulação de efeitos efetivada no Tema 1254 de Repercussão Geral da Suprema Corte, e da decisão judicial proferida nos autos do Agravo Regimental na Reclamação 65997/RN, pelo STF, este que aderiu parcialmente, em homenagem ao princípio da colegialidade, à ilustrada maioria desta Corte de Contas, nos moldes dispostos na referida Consulta nº 300762/2023-TC – deixando de aplicar tão somente a sua parte que exige o preenchimento de requisitos especificados nos mencionados itens “a” e “b” da Nota Técnica nº 001/2024 SECEX/TCE-RN, que não se adequam ao parâmetro definindo na modulação de efeitos do Tema 1254 de Repercussão Geral efetivada pelo STF –, com fulcro nos fundamentos jurídicos dantes explanados, e acolhendo integralmente o voto do Conselheiro Relator, julgar:

a)	pelo REGISTRO do ato concessivo de aposentadoria sob análise, em observância à modulação de efeitos realizada no Tema 1254 de Repercussão Geral efetivada pelo STF, bem como aplicando em parte o quanto disposto na aludida Consulta nº 300762/2023-TC, desta Corte de Contas, para fins de modulação dos respectivos efeitos – excetuando somente o seu trecho que prevê requisitos especificados nos mencionados itens “a” e “b” da Nota Técnica nº 001/2024 SECEX/TCE-RN;
b)	após o trânsito em julgado, ao Arquivo Geral. 

Vencidos os Excelentíssimos Conselheiros George Montenegro Soares, que divergiu parcialmente apenas quanto à fundamentação legal, e Francisco Potiguar Cavalcanti Júnior, que acompanhou o voto divergente.",
"DECIDEM os Conselheiros do Tribunal de Contas do Estado, à unanimidade, acolhendo integralmente a Informação da DAP e o Parecer do Ministério Público Especial, com fulcro nos fundamentos jurídicos dantes explanados, e nos termos do art. 312, §4º, do Regimento Interno deste TCE/RN, e acolhendo integralmente o voto do Conselheiro Relator, julgar pelo reconhecimento de que o desligamento da função da parte interessada prejudica o registro do ato admissional em epígrafe.
Após o trânsito em julgado, arquivem-se os autos.",
"Vistos, relatados e discutidos estes autos, concordando integralmente com o Corpo Técnico e o Parquet Especial pela manutenção do Parecer Prévio Desfavorável à Aprovação das Contas com Ressalvas, ACORDAM os Conselheiros, à unanimidade, nos termos do voto proferido pelo Conselheiro Relator, julgar pelo CONHECIMENTO do Pedido de Reexame, para, no mérito, NEGAR-LHE PROVIMENTO, mantendo intocados os termos da Decisão nº 153/2010-TC.
ACORDAM, ainda, pela REPRESENTAÇÃO ao Conselho Regional de Contabilidade do Estado do Rio Grande do Norte – CRC/RN para que apure se os procedimentos adotados pela Contadora Lucia M. Lima de Sousa, CRC/RN 3864 caracterizam infração ao Código de Ética Profissional do Contador, aos Princípios Fundamentais de Contabilidade, às Normas Brasileiras de Contabilidade ou, ainda, às demais Resoluções emanadas do Conselho Federal de Contabilidade.",
"Vistos, relatados e discutidos estes autos, concordando integralmente com o Corpo Técnico e o Parquet Especial pela manutenção do Parecer Prévio Desfavorável à Aprovação das Contas com Ressalvas, ACORDAM os Conselheiros, à unanimidade, nos termos do voto proferido pelo Conselheiro Relator, julgar pelo CONHECIMENTO do Pedido de Reexame, para, no mérito, NEGAR-LHE PROVIMENTO, mantendo intocados os termos da Decisão nº 153/2010-TC. 

ACORDAM, ainda, pela REPRESENTAÇÃO ao Conselho Regional de Contabilidade do Estado do Rio Grande do Norte – CRC/RN para que apure se os procedimentos adotados pela Sra. Francisca Maria da Solidade, CRC/RN 3546/RN, CPF 201.608.364-68, em face da possível infração ao Código de Ética Profissional do Contador, aos Princípios Fundamentais de Contabilidade, às Normas Brasileiras de Contabilidade ou, ainda, às demais Resoluções emanadas do Conselho Federal de Contabilidade.",
"Vistos, relatados e discutidos estes autos, concordando com o Corpo Técnico e o Parquet Especial, ACORDAM os Conselheiros, à unanimidade, nos termos do voto proferido pelo Conselheiro Relator, julgar pelo CONHECIMENTO do Pedido de Reexame, para, no mérito, DAR-LHE PROVIMENTO PARCIAL, afastando do Parecer Prévio exarado pela Decisão nº 54/2014-TC as irregularidades de “não estimativa da Receita Orçamentária pelo valor” e “divergência na apuração do saldo da Dívida Ativa”, e mantendo os demais itens do decisum original.",
"Vistos, relatados e discutidos estes autos, concordando com o Corpo Técnico e o Parquet Especial pela manutenção do Parecer Desfavorável à Aprovação das Contas, ACORDAM os Conselheiros, à unanimidade, nos termos do voto proferido pelo Conselheiro Relator, julgar pelo CONHECIMENTO do Pedido de Reexame, para, no mérito, DAR-LHE PROVIMENTO PARCIAL, afastando do Parecer Prévio exarado pela Decisão nº 19/2017-TC a irregularidade de descumprimento do art. 42 da LRF e mantendo os demais itens do decisum original.",
"Vistos, relatados e discutidos estes autos, concordando com o Corpo Técnico e o Parquet Especial pela manutenção do Parecer Prévio Desfavorável à Aprovação das Contas, ACORDAM os Conselheiros, à unanimidade, nos termos do voto proferido pelo Conselheiro Relator, julgar pelo CONHECIMENTO do Pedido de Reexame, para, no mérito, NEGAR-LHE PROVIMENTO, mantendo intocados os termos da Decisão nº 15/2017-TC, uma vez que permaneceram as inconsistências apontadas.
Por fim, pela REPRESENTAÇÃO ao Conselho Regional de Contabilidade do Estado do Rio Grande do Norte – CRC-RN, para que apure se os procedimentos adotados pelo Sr. Fabiano Ferreira Alves, CRC 017325/O, caracterizam infração ao Código de Ética Profissional do Contador, aos Princípios Fundamentais de Contabilidade, às Normas Brasileiras de Contabilidade ou, ainda, às demais Resoluções emanadas do Conselho Federal de Contabilidade.",
"DECIDEM os Conselheiros do Tribunal de Contas do Estado, à unanimidade, concordando com a Informação da DAP e com o Parecer do MPC, em cumprimento aos comandos do Supremo Tribunal Federal em sede do referido Tema 445 de Repercussão Geral, com fulcro nos fundamentos dantes expostos, e acolhendo integralmente o voto do Conselheiro Relator, julgar:
a)	pelo REGISTRO tácito do ato concessivo de aposentadoria em apreço;
b)	após o trânsito em julgado, ao Arquivo Geral. ",
"DECIDEM os Conselheiros do Tribunal de Contas do Estado, à unanimidade, concordando com a Informação da DAP  e com o Parecer do MPC, em cumprimento aos comandos do Supremo Tribunal Federal em sede do referido Tema 445 de Repercussão Geral, com fulcro nos fundamentos dantes expostos, e acolhendo integralmente o voto do Conselheiro Relator, julgar:
a)	pelo REGISTRO tácito do ato concessivo de aposentadoria em apreço;
b)	após o trânsito em julgado, ao Arquivo Geral. 
",
"Vistos, relatados e discutidos estes autos, acolhendo a Informação do Corpo Técnico e o Parecer do Ministério Público de Contas – de forma a  afastar a aplicação, neste caso concreto, do referido artigo 312, §4º, do Regimento Interno deste TCE/RN – , com fulcro nos fundamentos dantes expostos, ACORDAM os Conselheiros, nos termos do voto proferido pelo Conselheiro Relator, julgar:
a)	pela condenação do gestor responsável pelo IPERN, Sr. NEREU LINHARES, ao ressarcimento ao erário causado pelo descumprimento da Decisão preferida nestes autos, cujo montante deverá ser apurado em liquidação da presente decisão pela DAP, que deverá adotar os mesmos parâmetros utilizados no Proc. nº 003474/2021-TC – instaurado a partir de determinação contida no Acórdão nº 189/2021-TC, proferido no Proc. nº 102.523/2018-TC – quando for realizar o levantamento dos valores pagos (e que ainda continuam sendo despendidos) pelo IPERN em descumprimento da Decisão prolatada neste feito;
b)	pela aplicação de multa, no valor de R$ 1.000,00, ao gestor responsável pelo IPERN, Sr. NEREU LINHARES, em face do descumprimento de determinação desta Corte – uma vez que tal sanção não foi imputada por esta Corte nos autos do processo de apuração de responsabilidade já instaurado (Proc. nº 003474/2021-TC), o qual, inclusive, não abrange o presente feito –, nos termos do artigo 107, inciso II, alínea “f”, da Lei Complementar Estadual nº 464/2012;
c)	pela determinação de realização do desconto integral da dívida nos respectivos vencimentos, subsídios, salários ou proventos, em caso de não recolhimento espontâneo da multa fixada na alínea “b” desta Decisão, observados os limites legais, para subsequente crédito à conta do Fundo de Reaparelhamento e Aperfeiçoamento do Tribunal de Contas do Estado (FRAP), com fulcro no art. 118, caput e inciso I, da Lei Orgânica, c/c o art. 25, §1º, inciso I, da Resolução nº 013/2015-TCE;
d)	pela renovação da determinação deste TCE/RN, no sentido de que o gestor responsável pelo IPERN adote as providências necessárias ao atendimento da Decisão desta Corte – notadamente a fim de que a irregularidade apurada não venha a se propagar no processo de pensão correspondente –, no prazo de 30 dias úteis, sob pena de incidência de multa diária de R$ 200,00, desde já fixada com fundamento no artigo 110, da Lei Complementar nº 464/2012;
e)	pela imediata representação ao Ministério Público Estadual, para fins de apuração de eventual prática de ato de improbidade administrativa ou ilícito penal por parte da autoridade acima mencionada, tendo em vista a omissão dolosa e lesiva ao patrimônio público quanto à observância de seu dever funcional ante o descumprimento consciente e reiterado de decisões deste TCE/RN;
f)	pela notificação do gestor responsável pelo IPERN, para que providencie a remessa do respectivo processo de pensão por morte em nome da SRA. JOSEFA DA SILVA SOARES, consoante prescreve o art. 96, IV, da LCE nº 464/2012.
g)	pela INTIMAÇÃO da supracitada autoridade,  a fim de tomar conhecimento desta Decisão.",
"ISTO POSTO, concordando com a Informação do Corpo Técnico da DAP e com o Parecer MPC, em cumprimento aos comandos do Supremo Tribunal Federal em sede do referido Tema 445 de Repercussão Geral, e com fulcro nos fundamentos dantes expostos, VOTO:
a)	pelo REGISTRO tácito do ato concessivo de aposentadoria em apreço;
b)	após o trânsito em julgado, ao Arquivo Geral. 

Sala das Sessões, data da assinatura eletrônica.
 
(documento assinado digitalmente)
Carlos Thompson Costa Fernandes
Conselheiro Relator

",Padrão
"DECIDEM os Conselheiros do Tribunal de Contas do Estado, à unanimidade, concordando com a Informação da DAP e com o Parecer do MPC, em cumprimento aos comandos do Supremo Tribunal Federal em sede do referido Tema 445 de Repercussão Geral, com fulcro nos fundamentos dantes expostos, e acolhendo integralmente o voto do Conselheiro Relator, julgar:
a)	pelo REGISTRO tácito do ato concessivo de aposentadoria em apreço;
b)	após o trânsito em julgado, ao Arquivo Geral. ",
"DECIDEM os Conselheiros do Tribunal de Contas do Estado, à unanimidade, concordando com a Informação da DAP e com o Parecer do MPC, em cumprimento aos comandos do Supremo Tribunal Federal em sede do referido Tema 445 de Repercussão Geral, com fulcro nos fundamentos dantes expostos, e acolhendo integralmente o voto do Conselheiro Relator, julgar:
a)	pelo REGISTRO tácito do ato concessivo de aposentadoria em apreço;
b)	após o trânsito em julgado, ao Arquivo Geral. ",
"DECIDEM os Conselheiros do Tribunal de Contas do Estado, à unanimidade, concordando com a Informação da DAP  e com o Parecer do MPC, em cumprimento aos comandos do Supremo Tribunal Federal em sede do referido Tema 445 de Repercussão Geral, com fulcro nos fundamentos dantes expostos, e acolhendo integralmente o voto do Conselheiro Relator, julgar:
a)	pelo REGISTRO tácito do ato concessivo de aposentadoria em apreço;
b)	após o trânsito em julgado, ao Arquivo Geral. ",
"DECIDEM os Conselheiros do Tribunal de Contas do Estado, à unanimidade, concordando com a Informação da DAP e com o Parecer do MPC, em cumprimento aos comandos do Supremo Tribunal Federal em sede do referido Tema 445 de Repercussão Geral, com fulcro nos fundamentos dantes expostos,e acolhendo integralmente o voto do Conselheiro Relator, julgar:
a)	pelo REGISTRO tácito do ato concessivo de aposentadoria em apreço;
b)	após o trânsito em julgado, ao Arquivo Geral. ",
"DECIDEM os Conselheiros do Tribunal de Contas do Estado, à unanimidade, concordando com a Informação da DAP  e com o Parecer do MPC, em cumprimento aos comandos do Supremo Tribunal Federal em sede do referido Tema 445 de Repercussão Geral, com fulcro nos fundamentos dantes expostos, e acolhendo integralmente o voto do Conselheiro Relator, julgar:
a)	pelo REGISTRO tácito do ato concessivo de aposentadoria em apreço;
b)	após o trânsito em julgado, ao Arquivo Geral. ",
"Vistos, relatados e discutidos estes autos, em consonância com o Corpo Técnico da DAI e com o Ministério Público de Contas, ACORDAM os Conselheiros, nos termos do voto proferido pelo Conselheiro Relator, julgar no sentido de CONHECER o Pedido de Reconsideração interposto pelo Sr. Jailson Floriano do Nascimento, para, no mérito, dar-lhe PROVIMENTO, reformando o Acórdão nº 19/2024-TC – 2ª Câmara, para julgar regular a matéria referente à presente apuração de responsabilidade, nos moldes do que preconiza o art. 73 da LCE nº 464/2012, com a consequente exclusão da multa imposta ao recorrente, devendo os autos serem arquivados após o trânsito em julgado do Acórdão.
Salienta-se à Diretoria de Expediente (DE) que não se deve proceder a qualquer intimação postal ou pessoal do recorrente, haja vista não se fazer presente qualquer das hipóteses do art. 47, parágrafo único, da LOTCE/RN; 
Por fim, determine-se à Diretoria de Expediente (DE) que certifique nos autos o trânsito em julgado do Acórdão resultante do julgamento do Recurso tão logo ocorra e, em seguida, promova o arquivamento dos presentes autos. ",
"DECIDEM os Conselheiros do Tribunal de Contas do Estado, à unanimidade, ressalvando o posicionamento pessoal do Conselheiro Carlos Thompson Costa Fernandes – quanto à eventual violação das exigências constitucionais e legais aplicáveis à espécie –, que aderiu, em atenção ao princípio da colegialidade, à ilustrada maioria e à jurisprudência deste Tribunal, consolidada inclusive na Súmula nº 26-TCE, divergindo parcialmente do Corpo Instrutivo e do MPC – uma vez que se manifestaram pelo registro do ato com fundamento diverso –, com fulcro nos fundamentos dantes explanados, e acolhendo integralmente o voto do Conselheiro Relator, julgar:

a)	pelo REGISTRO excepcional do ato de admissão em apreço, com supedâneo nos artigos 71, inciso III, da Constituição Federal, e 53, inciso III, da Constituição Estadual, e nos termos da Súmula nº 26 desta Corte de Contas;
b)	pela remessa destes autos, após o trânsito em julgado deste decisum, ao arquivo.

Ressaltam que tramita neste TCE/RN o Processo nº 002022/2022-TC, cujo objeto é a apuração de responsabilidade do gestor competente relativo ao referido Concurso.",
"DECIDEM os Conselheiros do Tribunal de Contas do Estado, à unanimidade, ressalvando o posicionamento pessoal do Conselheiro Carlos Thompson Costa Fernandes – quanto à existência de eventual violação das exigências constitucionais e legais aplicáveis à espécie, as quais são objeto do Processo de apuração de responsabilidade nº 000060/2018-TC –, que aderiu, em atenção ao princípio da colegialidade, à ilustrada maioria e à jurisprudência deste Tribunal, consolidada inclusive na Súmula nº 26-TCE, divergindo parcialmente do Corpo Instrutivo e do MPC – que se manifestaram pelo registro com outro fundamento –, com fulcro nos fundamentos dantes explanados, e acolhendo integralmente o voto do Conselheiro Relator, julgar:

a)	pelo REGISTRO excepcional do ato de admissão em apreço, com supedâneo nos artigos 71, inciso III, da Constituição Federal, e 53, inciso III, da Constituição Estadual, e nos termos da Súmula nº 26 desta Corte de Contas;
b)	após o trânsito em julgado, ao Arquivo Geral. 

",
"DECIDEM os Conselheiros do Tribunal de Contas do Estado, à unanimidade, ressalvando o posicionamento pessoal do Conselheiro Carlos Thompson Costa Fernandes – quanto à existência de eventual violação das exigências constitucionais e legais aplicáveis à espécie, as quais são objeto do Processo de apuração de responsabilidade nº 015515/2015-TC  –, que aderiu, em atenção ao princípio da colegialidade, à ilustrada maioria e a jurisprudência deste Tribunal, consolidada inclusive na Súmula nº 26-TCE, divergindo parcialmente do Corpo Instrutivo e do MPC – que se manifestaram pelo registro com outro fundamento –, com fulcro nos fundamentos dantes explanados, e acolhendo integralmente o voto do Conselheiro Relator, julgar:

a)	pelo REGISTRO excepcional do ato de admissão em apreço, com supedâneo nos artigos 71, inciso III, da Constituição Federal, e 53, inciso III, da Constituição Estadual, e nos termos da Súmula nº 26 desta Corte de Contas;
b)	após o trânsito em julgado, ao Arquivo Geral. 

",
