token,label_original,label_sugerido,confianca,sentenca_idx,contexto
recorrente.,I-RESSARCIMENTO,O,0.9673314140284706,831,"pelas contas, ora recorrente."
nas,O,I-RECOMENDACAO,0.9519792573997699,767,de três anos nas Unidades Técnicas a
confor-me,I-OBRIGACAO,O,0.8518719979608063,226,"após essa data, confor-me reza o art."
importa,I-MULTA,I-RESSARCIMENTO,0.6565268645339002,223,", o que importa na quantia de"
de,O,I-RESSARCIMENTO,0.8932275516940769,831,"Legislativa Municipal (elemento de despesa nº 339036),"
que,O,I-RECOMENDACAO,0.8380101596506445,397,Poder Executivo para que adote das medidas
for,I-RECOMENDACAO,O,0.971683219580126,638,"oportunamente e se for o caso, das"
vencimentos,O,I-MULTA,0.7188757540015008,196,"cento) dos seus vencimentos anuais, conforme previsão"
por,O,I-RECOMENDACAO,0.95557418206539,767,processos fiquem paralisados por mais de três
equivalente,I-RESSARCIMENTO,I-MULTA,0.9182062100115128,781,aplicação de multa equivalente a 10% (dez
respectivo,O,I-OBRIGACAO,0.9492023817146013,202,a remessa do respectivo processo de pensão
enviado,I-OBRIGACAO,I-RESSARCIMENTO,0.6360172966697694,818,"de aplicação ser enviado a esta Corte,"
na,O,I-OBRIGACAO,0.7680519894302462,528,prazo máximo fixado na alínea “d” para
apostila,O,I-OBRIGACAO,0.7221123550505772,629,• corrigir a apostila de cálculos dos
Montenegro,I-RESSARCIMENTO,O,0.9152568288542757,527,Maria Izabel Araújo Montenegro ao RESSARCIMENTO AO
nº,O,I-MULTA,0.9686935320717124,617,"“b”, da Resolução nº 004/2013-TCE."
de,O,I-OBRIGACAO,0.8794048882847634,629,corrigir a apostila de cálculos dos proventos
com,O,I-MULTA,0.968147375570739,196,"nº 10.028/2000, c/c com artigo 29 da"
da,O,I-RECOMENDACAO,0.7857429515292448,397,necessárias à melhoria da qualidade das informações
consulta,I-OBRIGACAO,O,0.9526130856304322,616,está disponível para consulta no site do
cento),O,I-RESSARCIMENTO,0.5764995034396293,675,dois centésimos por cento) para a ALRN
prazo,O,I-OBRIGACAO,0.9552704268297916,629,"para que, no prazo de 60 (sessenta)"
Município,O,I-OBRIGACAO,0.8450945078748212,215,Pela proibição ao Município São Bento do
valor,O,I-RESSARCIMENTO,0.926627960390589,831,"ao erário, do valor de R$ 2.900,00,"
Lei,O,I-MULTA,0.7397990459798338,196,"inciso I, da Lei nº 10.028/2000, c/c"
do,O,I-MULTA,0.9669966655527953,630,Água e Esgoto do Município de Rio
R$,O,I-OBRIGACAO,0.7432154404142145,528,"no importe de R$ 1.000,00 (LOTCE/RN, art."
melhoria,O,I-RECOMENDACAO,0.8463434990419463,397,medidas necessárias à melhoria da qualidade das
previsão,O,I-MULTA,0.9683751460935546,196,"vencimentos anuais, conforme previsão do artigo 5º,"
a,O,I-RESSARCIMENTO,0.871502541287475,792,"valores da época, a serem devidamente atualizados,"
responsabilidade,I-OBRIGACAO,O,0.9696950732908284,522,Contas individualizadas de responsabilidade dos ordenadores de
ao,I-MULTA,I-OBRIGACAO,0.7680523625427944,786,do caderno processual ao Ministério Público Estadual
contar,O,I-OBRIGACAO,0.8405177559588664,215,"(dezoito) meses, a contar da intimação desta"
noventa,I-MULTA,I-RESSARCIMENTO,0.9418470697007022,223,"sete reais e noventa e cinco centavos),"
nos,I-OBRIGACAO,O,0.953332954321463,616,"da decisão colegiada, nos termos do art."
trezentos,O,I-RESSARCIMENTO,0.9402140676635508,787,"e sete mil, trezentos e setenta e"
acordo,O,I-OBRIGACAO,0.9146965614950637,629,"dias úteis, de acordo com o inteiro"
a,O,I-RECOMENDACAO,0.9468037747291446,767,procedimentos com vistas a impedir que processos
cinco,I-MULTA,I-RESSARCIMENTO,0.9483814773020325,223,"e noventa e cinco centavos), em razão"
inciso,I-OBRIGACAO,I-MULTA,0.9400511460061924,336,"o artigo 323, inciso II, alínea `f`,"
Onofre,O,I-MULTA,0.9189022917526866,715,"responsável, Sr. Carlindson Onofre Pereira de Melo,"
no,O,I-OBRIGACAO,0.6729929923833348,628,"sendo, igualmente, perfectibilizada no bojo do processo"
após,I-OBRIGACAO,O,0.9704579528971181,779,"464/2012 determinando que, após o trânsito em"
exercício,O,I-MULTA,0.7972711781157265,716,"IPPFICA, referentes ao exercício de 2022, uma"
perfectibilizada,O,I-OBRIGACAO,0.7893574214885616,628,"está sendo, igualmente, perfectibilizada no bojo do"
com,O,I-RECOMENDACAO,0.9496175688073472,767,adoção de procedimentos com vistas a impedir
de,O,I-MULTA,0.9609715285834186,630,"Sr. Laerte Ney de Paiva Fagundes, gestor"
total,O,I-MULTA,0.9502544552376269,716,"multa no valor total de R$ 1.100,00"
das,O,I-RESSARCIMENTO,0.9151007176434703,831,refere à soma das despesas com diárias
a,I-OBRIGACAO,O,0.9373594542809169,561,"nº 464/12, proceda a retificação das imprecisões"
determinando,I-MULTA,I-OBRIGACAO,0.5320268789062844,786,"de aditivo contratual, determinando a imediata remessa"
devidamente,O,I-RESSARCIMENTO,0.9506268421418439,807,"centavos), a ser devidamente atualizado, de forma"
das,O,I-RECOMENDACAO,0.8838647665902901,397,melhoria da qualidade das informações contábeis; Pela
das,O,I-OBRIGACAO,0.5155553818608667,700,aptas à correção das falhas apontadas neste
29,O,I-MULTA,0.9664405315030685,196,c/c com artigo 29 da Resolução nº
a,O,I-OBRIGACAO,0.8021520860183443,629,Federal; • corrigir a apostila de cálculos
"constatadas,",I-MULTA,I-OBRIGACAO,0.8009469825633816,786,"sobre as irregularidades constatadas, a fim de"
adote,I-OBRIGACAO,O,0.7027601895969721,779,"30 (trinta) dias, adote as medidas regularizadoras"
condição,I-RECOMENDACAO,O,0.903629535550126,287,"Contas mesmo na condição de inativo, até"
do,O,I-MULTA,0.9655599493567584,716,"responsável, por força do art. 21, inciso"
paralisados,O,I-RECOMENDACAO,0.9125225299633404,767,que processos fiquem paralisados por mais de
"1.000,00",O,I-OBRIGACAO,0.6782739393371034,528,"importe de R$ 1.000,00 (LOTCE/RN, art. 110);.”."
o,O,I-RESSARCIMENTO,0.9366707003774805,792,de ressarcir integralmente o erário Municipal no
procedimentos,O,I-RECOMENDACAO,0.9505955035943129,767,a adoção de procedimentos com vistas a
o,O,I-MULTA,0.9640129310653993,717,"n.º 464/2012, c/c o art. 6º, da"
"discriminada,",O,I-OBRIGACAO,0.7449483918100687,629,"constar, de forma discriminada, cada parcela que"
soma,O,I-RESSARCIMENTO,0.7860890196681845,831,se refere à soma das despesas com
multa,I-MULTA,I-OBRIGACAO,0.6171944151060695,786,"pela aplicação de multa ao gestor, à"
bojo,O,I-OBRIGACAO,0.6595897481497599,628,"igualmente, perfectibilizada no bojo do processo de"
da,I-OBRIGACAO,I-MULTA,0.7003278374478904,336,"II, alínea “f”, da Lei Complementar Estadual"
da,O,I-RESSARCIMENTO,0.712512344866147,792,"3º, alínea “a”, da LCE n.º 121/1994,"
diárias,O,I-RESSARCIMENTO,0.8145836178997222,831,das despesas com diárias (elemento de despesa
pela,I-OBRIGACAO,O,0.9672392408550178,779,"deste Tribunal, aprovado pela Resolução nº. 09/12"
diária,O,I-OBRIGACAO,0.9500932108726529,202,"aplicação de multa diária ao gestor responsável,"
de,O,I-OBRIGACAO,0.7299975005896393,629,cálculos dos proventos de forma a fazer
"reais),",O,I-MULTA,0.9397720165675278,464,"1.000,00 (hum mil reais), de ofício, quanto"
e,O,I-MULTA,0.6947795567516671,196,"R$ 21.600,00 (Vinte e um mil e"
informações,O,I-RECOMENDACAO,0.9274347580540565,397,da qualidade das informações contábeis; Pela instauração
de,O,I-RESSARCIMENTO,0.9044842817478659,831,"erário, do valor de R$ 2.900,00, que"
causado,O,I-OBRIGACAO,0.9473200799440274,628,dano ao erário causado pelo descumprimento do
de,O,I-OBRIGACAO,0.6809218493704354,528,"responsável no importe de R$ 1.000,00 (LOTCE/RN,"
comissão,O,I-RESSARCIMENTO,0.6566400787472886,807,Filho (presidente da comissão de recebimento de
Ao,I-MULTA,O,0.6924359534929171,337,seguintes multas: a. Ao Sr. George Ney
prazo,O,I-OBRIGACAO,0.7209321865328663,215,Pela assinatura do prazo de 60 (sessenta)
do,O,I-OBRIGACAO,0.9577597648326747,530,"previdenciário, na pessoa do seu atual gestor,"
adote,O,I-RECOMENDACAO,0.6430555532549704,397,Executivo para que adote das medidas necessárias
diligência.,I-MULTA,O,0.9679441668229897,571,pela intempestividade da diligência.
apontadas,O,I-OBRIGACAO,0.6595987072978325,700,correção das falhas apontadas neste processo. Em
periódicos,O,I-RECOMENDACAO,0.6425451896274791,736,de realizar procedimentos periódicos de verificação e
"5º,",O,I-MULTA,0.9645966837776115,196,"previsão do artigo 5º, inciso I, da"
decorrente,I-OBRIGACAO,O,0.963458380932492,779,"e qualquer pagamento decorrente do ato impugnado,"
ela,O,I-RECOMENDACAO,0.950766577900508,767,"Unidades Técnicas a ela vinculadas, para que"
adoção,O,I-RECOMENDACAO,0.831708262614703,767,"de Contas, a adoção de procedimentos com"
Anuais,O,I-MULTA,0.9636659032137685,716,Tribunal das Contas Anuais de Gestão do
nela,O,I-OBRIGACAO,0.7311248053954084,629,"forma a fazer nela constar, de forma"
R$,O,I-MULTA,0.9344447110905033,464,"no valor de R$ 1.000,00 (hum mil"
Acórdão,I-MULTA,O,0.9678497808297328,369,demais dispositivos do Acórdão n.º 199/2016-1.ª Câmara.
deste,O,I-RECOMENDACAO,0.9105376803519928,767,"Externo – SECEX deste Tribunal de Contas,"
trânsito,I-RESSARCIMENTO,O,0.9663217002044053,781,"121/94;c) Após o trânsito em julgado, remetam-se"
do,O,I-RESSARCIMENTO,0.7565336865076537,831,com o aluguel do prédio da sede
Andrade,O,I-RESSARCIMENTO,0.6448130943555224,807,Silva (fiscal); Fausto Andrade Furtado (representante legal
corrigir,I-OBRIGACAO,O,0.9660126548252542,671,Médio I. • corrigir o ato aposentador
descumprimento,O,I-OBRIGACAO,0.6709823558404874,628,erário causado pelo descumprimento do Decisum nele
para,O,I-RECOMENDACAO,0.9148457560358458,397,do Poder Executivo para que adote das
"previdenciário,",O,I-OBRIGACAO,0.9428516651149451,530,"do órgão gestor previdenciário, na pessoa do"
art.,O,I-OBRIGACAO,0.6979764447311076,528,"R$ 1.000,00 (LOTCE/RN, art. 110);.”."
acima,O,I-RESSARCIMENTO,0.5887710597076188,830,"da Câmara Municipal, acima do limite máximo"
como,O,I-RECOMENDACAO,0.94851349187615,767,"de prescrição intercorrente, como no presente caso."
órgão,I-OBRIGACAO,O,0.9281609836554223,779,a intimação do órgão de origem para
processual,I-MULTA,I-OBRIGACAO,0.7428099570233824,786,peças do caderno processual ao Ministério Público
do,I-RECOMENDACAO,O,0.8494146303393948,638,de Contas acerca do teor do presente
sob,O,I-OBRIGACAO,0.9155614557874119,528,"para solução definitiva, sob pena de multa"
esclarecimento,I-OBRIGACAO,O,0.9637548003770369,522,"competência; DECIDE, para esclarecimento final, de que"
Sr.,I-MULTA,O,0.9611227833626235,430,da punibilidade do Sr. Ariosvaldo Targino de
"cabíveis,",I-OBRIGACAO,O,0.9079465690398707,779,"as medidas regularizadoras cabíveis, fazendo cessar todo"
para,O,I-RECOMENDACAO,0.9494405833860684,767,"a ela vinculadas, para que se evite,"
demais,I-OBRIGACAO,O,0.9638765980378448,522,"de despesa e demais responsáveis por dinheiros,"
contábeis;,O,I-RECOMENDACAO,0.906169711127309,397,qualidade das informações contábeis; Pela instauração de
"1.000,00",O,I-MULTA,0.8352252032667817,464,"valor de R$ 1.000,00 (hum mil reais),"
R$,O,I-RESSARCIMENTO,0.9174840436234202,831,"do valor de R$ 2.900,00, que se"
de,O,I-MULTA,0.9476866216190022,717,"Macau no período de apuração, multa no"
aplicação,O,I-OBRIGACAO,0.9557259941912346,202,sob pena da aplicação de multa diária
para,O,I-OBRIGACAO,0.8984794784001778,528,"na alínea “d” para solução definitiva, sob"
adotem,O,I-OBRIGACAO,0.607536619867428,700,para que se adotem providências aptas a
da,O,I-RECOMENDACAO,0.7821510949564303,736,"verificação e controle da acumulação de cargos,"
PLANCOL);,O,I-RESSARCIMENTO,0.6637886778290012,807,(representante legal da PLANCOL); José Aribaldo Filho
pena,O,I-OBRIGACAO,0.8831246149010228,528,"solução definitiva, sob pena de multa diária"
"II,",I-RESSARCIMENTO,I-MULTA,0.7189204848049012,859,"art. 102, inciso II, alínea “b”, da"
reza,I-OBRIGACAO,O,0.9499884046864288,226,"essa data, confor-me reza o art. 313,"
se,O,I-RESSARCIMENTO,0.9131805554011204,792,"tal matéria não se sujeita à prescrição,"
qualidade,O,I-RECOMENDACAO,0.9062946458454723,397,à melhoria da qualidade das informações contábeis;
Ministério,I-MULTA,I-OBRIGACAO,0.6898985017036801,786,caderno processual ao Ministério Público Estadual sobre
proferido,I-OBRIGACAO,O,0.9648287021227794,616,do Acórdão ora proferido ao Ministério Público
"reais),",O,I-MULTA,0.879157517784792,578,"(quatrocentos e cinquenta reais), já consta como"
da,O,I-RESSARCIMENTO,0.9418790472856997,792,"remuneração do Presidente da Câmara Municipal, seja"
necessárias,O,I-RECOMENDACAO,0.9250727155630307,397,adote das medidas necessárias à melhoria da
anos,O,I-RECOMENDACAO,0.9417688192897157,767,mais de três anos nas Unidades Técnicas
se,O,I-RECOMENDACAO,0.6581007673825439,767,"vinculadas, para que se evite, assim, a"
gestor,O,I-OBRIGACAO,0.9423146466942456,530,"intimação do órgão gestor previdenciário, na pessoa"
da,O,I-OBRIGACAO,0.9520492865333098,215,"meses, a contar da intimação desta decisão,"
R$,I-OBRIGACAO,I-MULTA,0.6798929715061673,495,"o limite de R$ 20.000,00 (vinte mil"
adote,O,I-OBRIGACAO,0.6028249910520715,700,fim de que adote posturas aptas à
administrativas,O,I-RECOMENDACAO,0.6390199306860818,736,que adote providências administrativas no sentido de
de,O,I-RECOMENDACAO,0.9467320737961933,767,"Contas, a adoção de procedimentos com vistas"
cada,O,I-OBRIGACAO,0.5937034659938253,629,"de forma discriminada, cada parcela que compõe"
3º,I-RESSARCIMENTO,I-MULTA,0.9477611074482301,858,“a” do § 3º do art. 78
nº,O,I-MULTA,0.9600589451036128,196,"29 da Resolução nº 04/2013-TCE. Por fim,"
montante,O,I-RESSARCIMENTO,0.8508850751374082,807,"cofres estaduais no montante de R$ 3.484,80"
conforme,I-OBRIGACAO,O,0.8643933371112307,779,"após essa data, conforme art. 313, §1º"
responsáveis,I-OBRIGACAO,O,0.9628742948797686,522,"despesa e demais responsáveis por dinheiros, bens"
à,O,I-RECOMENDACAO,0.9392697711409379,767,que se recomende à Secretaria de Controle
pagamento,I-OBRIGACAO,I-RESSARCIMENTO,0.90296012703328,818,"gestor efetue o pagamento de R$ 118.420,79"
de,O,I-RECOMENDACAO,0.9477361228257346,767,recomende à Secretaria de Controle Externo –
adote,O,I-RECOMENDACAO,0.9104005652779651,736,"Paraná/RN, para que adote providências administrativas no"
aluguel,O,I-RESSARCIMENTO,0.6232344740970743,831,e com o aluguel do prédio da
na,O,I-OBRIGACAO,0.9546870091763132,530,"órgão gestor previdenciário, na pessoa do seu"
n.º,O,I-RESSARCIMENTO,0.5773277704488295,850,"“a”, da LCE n.º 121/1994. Demais disso,"
valor,O,I-MULTA,0.88090985277754,464,"a multa no valor de R$ 1.000,00"
de,O,I-RECOMENDACAO,0.7875748354356095,736,administrativas no sentido de realizar procedimentos periódicos
pagamento,I-RESSARCIMENTO,I-MULTA,0.9561977258106975,836,não comprovação do pagamento dos empenhos nº
(hum,O,I-MULTA,0.9282532280244411,464,"de R$ 1.000,00 (hum mil reais), de"
acumulados.,O,I-OBRIGACAO,0.9317051176832499,701,"excluindo os cargos acumulados. c) E ainda,"
(elemento,O,I-RESSARCIMENTO,0.6307503646071304,831,despesas com diárias (elemento de despesa nº
para,O,I-OBRIGACAO,0.9529551714400611,202,"Corte de Contas para análise do feito,"
os,O,I-OBRIGACAO,0.9328319763029579,701,"do Município, excluindo os cargos acumulados. c)"
aos,I-MULTA,I-RESSARCIMENTO,0.9450578088653611,223,de Gratificação Natalina aos Secretários Municipais sem
SECEX,O,I-RECOMENDACAO,0.9436119461451233,767,Controle Externo – SECEX deste Tribunal de
que,I-OBRIGACAO,O,0.9502684936873064,88,pertinentes. Por compreender que a paralisação dos
à,O,I-RECOMENDACAO,0.5488381495625404,700,adote posturas aptas à correção das falhas
providências,O,I-RECOMENDACAO,0.5415988535965516,700,que se adotem providências aptas a controlar
refere,O,I-MULTA,0.9396539921613949,617,"a que se refere o art. 31,"
observar,O,I-OBRIGACAO,0.729378307219391,528,cronograma que deve observar o prazo máximo
"VII,",I-OBRIGACAO,O,0.8600712456730918,561,"artigo 1º, inciso VII, da mesma Lei"
a,O,I-OBRIGACAO,0.6188450722290533,700,adotem providências aptas a controlar o acúmulo
prazo,O,I-OBRIGACAO,0.7516307992815938,528,deve observar o prazo máximo fixado na
Tribunal,O,I-MULTA,0.9554640885094982,716,encaminhamento a este Tribunal das Contas Anuais
Secretaria,O,I-RECOMENDACAO,0.9459763175025174,767,se recomende à Secretaria de Controle Externo
seus,O,I-RECOMENDACAO,0.9123064477733867,736,"funções públicas dos seus servidores, evitando a"
que,O,I-RECOMENDACAO,0.494265684216059,700,"Em especial, para que se adotem providências"
se,O,I-OBRIGACAO,0.666483208771817,700,"especial, para que se adotem providências aptas"
Controle,O,I-RECOMENDACAO,0.9465786705115219,767,à Secretaria de Controle Externo – SECEX
diária,O,I-OBRIGACAO,0.9016303234672016,528,pena de multa diária ao Município e
a,O,I-RECOMENDACAO,0.9428075889855336,767,"nas Unidades Técnicas a ela vinculadas, para"
de,I-OBRIGACAO,O,0.8936057808028733,522,responsabilidade dos ordenadores de despesa e demais
a,I-OBRIGACAO,O,0.9612667220476201,616,464/2012; 2) determinar a imediata remessa de
"definitiva,",O,I-OBRIGACAO,0.7362567984581745,528,"“d” para solução definitiva, sob pena de"
seja,O,I-RESSARCIMENTO,0.6493437625024026,792,"sujeita à prescrição, seja por não ter"
de,O,I-RECOMENDACAO,0.775259075464029,736,realizar procedimentos periódicos de verificação e controle
desta,I-RESSARCIMENTO,I-MULTA,0.7492043077319118,858,do art. 102 desta mesma legislação; e
ao,O,I-MULTA,0.9316971435204191,651,aplicação de multa ao Sr. Aldemir Paulino
as,I-MULTA,I-OBRIGACAO,0.7573454292158491,786,"Público Estadual sobre as irregularidades constatadas, a"
ato,I-OBRIGACAO,O,0.9176998307867814,226,"pagamento decorrente do ato impugnado, sob pena"
Chefe,O,I-RECOMENDACAO,0.9266388238617087,397,ainda RECOMENDAR ao Chefe do Poder Executivo
art.,I-OBRIGACAO,O,0.8697989581264978,226,"confor-me reza o art. 313, parágrafo 1º,"
comissão,O,I-RESSARCIMENTO,0.6289225268399005,807,Pinto (membro da comissão de recebimento da
de,O,I-RESSARCIMENTO,0.7274993404381326,831,com diárias (elemento de despesa nº 339014)
seu,O,I-OBRIGACAO,0.950488438977113,530,"na pessoa do seu atual gestor, acerca"
conta,O,I-OBRIGACAO,0.9169312180737885,628,"diária, tendo em conta que a imposição"
Poder,O,I-RECOMENDACAO,0.6362092295617214,397,ao Chefe do Poder Executivo para que
Antônio,O,I-MULTA,0.9238954350355792,717,"ao Sr. José Antônio de Menezes Souza,"
a,O,I-RECOMENDACAO,0.9411520040692124,767,"Tribunal de Contas, a adoção de procedimentos"
e,O,I-RECOMENDACAO,0.8073373135317354,736,periódicos de verificação e controle da acumulação
o,O,I-RESSARCIMENTO,0.7945622083375357,831,339014) e com o aluguel do prédio
de,I-OBRIGACAO,O,0.9548288157918303,522,das Contas individualizadas de responsabilidade dos ordenadores
realizar,O,I-RECOMENDACAO,0.9310661129865467,736,no sentido de realizar procedimentos periódicos de
situações,O,I-RECOMENDACAO,0.7778043146362241,736,a repetição de situações como a destes
controlar,O,I-RECOMENDACAO,0.5070219354551111,700,providências aptas a controlar o acúmulo ilegal
deste,I-OBRIGACAO,O,0.9586020501244364,522,que as conclusões deste Parecer não excluem
"Corte,",I-OBRIGACAO,I-RESSARCIMENTO,0.6236829221034832,818,"enviado a esta Corte, no prazo de"
"II,",I-OBRIGACAO,I-MULTA,0.873301457573643,336,"artigo 107, inciso II, alínea “f”, da"
falhas,O,I-RECOMENDACAO,0.45155406362423217,700,à correção das falhas apontadas neste processo.
conforme,O,I-OBRIGACAO,0.8204385986077793,629,interessada em epígrafe conforme valor do salário
de,O,I-RECOMENDACAO,0.8436066108509706,736,evitando a repetição de situações como a
sentido,O,I-RECOMENDACAO,0.8556886360515634,736,providências administrativas no sentido de realizar procedimentos
com,I-RESSARCIMENTO,O,0.890385477869087,781,"do valor devido, com imposição de juros"
a,O,I-RECOMENDACAO,0.8079031417824002,736,"seus servidores, evitando a repetição de situações"
inciso,O,I-MULTA,0.9038005945541855,196,"do artigo 5º, inciso I, da Lei"
quatro,O,I-RESSARCIMENTO,0.731764582588343,675,"“0,74%” (setenta e quatro centésimos por cento)"
Controle,O,I-RECOMENDACAO,0.9335404506210242,142,à Secretaria de Controle Externo – SECEX
199/2016-1.ª,I-MULTA,O,0.9593366558571365,369,do Acórdão n.º 199/2016-1.ª Câmara.
não,O,I-RESSARCIMENTO,0.9362997583274244,792,porque tal matéria não se sujeita à
para,O,I-OBRIGACAO,0.6410244932080492,700,"processo. Em especial, para que se adotem"
"464/2012,",I-OBRIGACAO,O,0.8991372020048872,491,"Lei Complementar n.º 464/2012, com valor devidamente"
Câmara,O,I-RESSARCIMENTO,0.9236626722135202,792,"do Presidente da Câmara Municipal, seja porque"
que,O,I-OBRIGACAO,0.5581347760987065,700,a fim de que adote posturas aptas
tendo,O,I-OBRIGACAO,0.9380624884901253,628,"de multa diária, tendo em conta que"
de,O,I-OBRIGACAO,0.9118488112863068,528,"definitiva, sob pena de multa diária ao"
(sessenta),O,I-OBRIGACAO,0.9440137591286282,629,"prazo de 60 (sessenta) dias úteis, de"
proibição,O,I-OBRIGACAO,0.6062246769052653,215,110); d) Pela proibição ao Município São
IX.,I-RECOMENDACAO,O,0.9366383613098431,506,de Ativo Permanente; IX. Impossibilidade de apuração
que,O,I-RECOMENDACAO,0.7788558167970111,736,"de Paraná/RN, para que adote providências administrativas"
"responsável,",O,I-MULTA,0.9507313933664575,715,"em desfavor do responsável, Sr. Carlindson Onofre"
o,O,I-OBRIGACAO,0.8876458612249544,528,que deve observar o prazo máximo fixado
deve,O,I-OBRIGACAO,0.787007375065122,528,contendo cronograma que deve observar o prazo
do,I-RESSARCIMENTO,I-MULTA,0.8246543477485108,858,pelo inciso I do art. 102 desta
responsável,O,I-OBRIGACAO,0.8408487561367733,528,e ao gestor responsável no importe de
"10,",O,I-MULTA,0.8460351690370486,716,"consignada no art. 10, caput e inciso"
o,O,I-MULTA,0.9248146450814951,830,"São Tomé, durante o exercício financeiro de"
vistas,O,I-RECOMENDACAO,0.9359820253845607,253,adote procedimentos com vistas a impedir a
por,I-RESSARCIMENTO,I-MULTA,0.9403461770736229,781,a 10% (dez por cento) do valor
da,O,I-MULTA,0.9223230755132523,196,com artigo 29 da Resolução nº 04/2013-TCE.
que,O,I-OBRIGACAO,0.7256253809631897,528,"questão, contendo cronograma que deve observar o"
5º,O,I-MULTA,0.9499663420405282,430,"do RREO do 5º Bimestre de 2008,"
a,O,I-RESSARCIMENTO,0.9289916998114676,807,"e oitenta centavos), a ser devidamente atualizado,"
da,O,I-RECOMENDACAO,0.7888752878833687,736,"à atual gestão da Prefeitura de Paraná/RN,"
"1º,",I-OBRIGACAO,O,0.9253092113858074,226,"art. 313, parágrafo 1º, do Regimento Interno"
(Proc.,O,I-OBRIGACAO,0.660971906948622,628,responsabilidade já instaurado (Proc. nº 003474/2021-TC); d)
003474/2021-TC);,O,I-OBRIGACAO,0.7353724816272662,628,instaurado (Proc. nº 003474/2021-TC); d) pela não
Secretaria,O,I-RECOMENDACAO,0.9376622549091734,253,se recomende à Secretaria de Controle Externo
que,O,I-OBRIGACAO,0.9395180832890834,628,"proferido, uma vez que tal medida está"
"impugnado,",I-OBRIGACAO,O,0.9560896425426578,779,"decorrente do ato impugnado, sob pena de"
montante,O,I-RESSARCIMENTO,0.9284916092030764,792,"erário Municipal no montante de R$ 1.778,28"
do,I-MULTA,O,0.950764629045271,430,extinção da punibilidade do Sr. Ariosvaldo Targino
de,O,I-MULTA,0.921880829655062,830,o exercício financeiro de 2010: a) Aplicação
cinqüenta,I-MULTA,I-RESSARCIMENTO,0.9260292944816108,855,"mil, oitocentos e cinqüenta e seis reais),"
Complementar,I-OBRIGACAO,O,0.8749498646520898,561,"único, da Lei Complementar Estadual nº 464/12,"
autos,O,I-OBRIGACAO,0.7246710884018893,628,administrativas ocorrerá nos autos do processo de
referentes,O,I-MULTA,0.9528101504363201,716,"Gestão do IPPFICA, referentes ao exercício de"
à,O,I-RECOMENDACAO,0.7824367244499927,736,2) expedir Recomendação à atual gestão da
ao,O,I-OBRIGACAO,0.8825044654675896,215,d) Pela proibição ao Município São Bento
ao,O,I-OBRIGACAO,0.8473555871140929,528,de multa diária ao Município e ao
de,I-MULTA,O,0.8520149088196105,594,19 de janeiro de 2024; (iii) pela
Técnicas,O,I-RECOMENDACAO,0.9393081090241273,767,"anos nas Unidades Técnicas a ela vinculadas,"
dias,O,I-OBRIGACAO,0.9389672128313734,629,"de 60 (sessenta) dias úteis, de acordo"
cronograma,O,I-OBRIGACAO,0.8652191083535793,528,"em questão, contendo cronograma que deve observar"
Lei,O,I-MULTA,0.9128500308967916,810,"I, todos da Lei Complementar nº 121/94;"
multa,O,I-OBRIGACAO,0.7105979421515186,528,sob pena de multa diária ao Município
do,O,I-OBRIGACAO,0.8630723517623905,628,"causado pelo descumprimento do Decisum nele proferido,"
sede,O,I-RESSARCIMENTO,0.7738750218903571,831,do prédio da sede da Casa Legislativa
Técnicas,O,I-RECOMENDACAO,0.935339227456438,92,prescrição nas Unidades Técnicas a ela vinculadas.
caso.,I-RECOMENDACAO,O,0.9462394765515135,619,como no presente caso. Não estando presente
providências,O,I-RECOMENDACAO,0.88471348150813,736,para que adote providências administrativas no sentido
Por,I-OBRIGACAO,O,0.9441815246198297,88,as informações pertinentes. Por compreender que a
atual,O,I-OBRIGACAO,0.9289542441175507,530,"pessoa do seu atual gestor, acerca da"
sob,O,I-OBRIGACAO,0.9337479483530255,629,"providências abaixo descritas, sob pena de responsabilidade"
"constar,",O,I-OBRIGACAO,0.7011129209577619,629,"a fazer nela constar, de forma discriminada,"
atual,O,I-RECOMENDACAO,0.8883516939444548,736,expedir Recomendação à atual gestão da Prefeitura
para,O,I-RECOMENDACAO,0.7759374539090073,736,"Prefeitura de Paraná/RN, para que adote providências"
da,O,I-RESSARCIMENTO,0.9284716839488493,832,no pagamento indevido da supracitada quantia pelo
quadro,I-OBRIGACAO,O,0.8422377708061705,491,a regularização do quadro de pessoal do
do,O,I-RESSARCIMENTO,0.5602880887725706,830,"Câmara Municipal, acima do limite máximo legal"
recomende,O,I-RECOMENDACAO,0.6726611070587605,767,de que se recomende à Secretaria de
combinado,O,I-RESSARCIMENTO,0.8937394963602708,807,da Constituição Federal combinado com o artigo
ela,O,I-RECOMENDACAO,0.9367261475387361,142,"Unidades Técnicas a ela vinculadas. Também, pelo"
nas,O,I-RECOMENDACAO,0.9330599158651663,142,consumação de prescrição nas Unidades Técnicas a
públicos.,I-OBRIGACAO,O,0.9504061418282046,522,bens e valores públicos.
por,O,I-OBRIGACAO,0.9420176866275197,202,processo de pensão por morte a esta
Unidades,O,I-RECOMENDACAO,0.9339672856371576,92,de prescrição nas Unidades Técnicas a ela
mesma,I-RESSARCIMENTO,I-MULTA,0.7069042193579982,858,art. 102 desta mesma legislação; e c)
Novel,I-OBRIGACAO,I-MULTA,0.7067046806004386,336,"alínea `f`, do Novel Regimento Interno desta"
